"Word","Pinyin","OtherPinyin","Level","First Translation","Other Translations","ParentWord","ParentPinyin","Zhuyin"
"明","míng","","1","Ming Dynasty (1368-1644)","Ming (c. 2000 BC), fourth of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God, bright, opposite: dark 暗[an4], (of meaning) clear, to understand, next, public or open, wise, generic term for a sacrifice to the gods, surname Ming","明天","míngtiān","ㄇㄧㄥˊ　ㄊㄧㄢ"
"明天","míngtiān","","1","tomorrow","","","","ㄇㄧㄥˊ　ㄊㄧㄢ"
"昨","zuó","","1","yesterday","","昨天","zuótiān","ㄗㄨㄛˊ　ㄊㄧㄢ"
"昨天","zuótiān","","1","yesterday","","","","ㄗㄨㄛˊ　ㄊㄧㄢ"
"早","zǎo","","1","early","morning, Good morning!, long ago, prematurely","早上","zǎoshang","ㄗㄠˇ　˙ㄕㄤ"
"上","shàng","","1","on top","upon, above, upper, previous, first (of multiple parts), to climb, to get onto, to go up, to attend (class or university), see 上聲|上声[shang3 sheng1]","早上","zǎoshang","ㄗㄠˇ　˙ㄕㄤ"
"早上","zǎoshang","","1","early morning","CL:個|个[ge4]","","","ㄗㄠˇ　˙ㄕㄤ"
"午","wǔ","","1","7th earthly branch: 11 a.m.-1 p.m., noon, 5th solar month (6th June-6th July), year of the Horse","ancient Chinese compass point: 180° (south)","上午","shàngwǔ","ㄕㄤˋ　ㄨˇ"
"上午","shàngwǔ","","1","morning","CL:個|个[ge4]","","","ㄕㄤˋ　ㄨˇ"
"中午","zhōngwǔ","","1","noon","midday, CL:個|个[ge4]","","","ㄓㄨㄥ　ㄨˇ"
"下","xià","","1","down","downwards, below, lower, later, next (week etc), second (of two parts), to decline, to go down, to arrive at (a decision, conclusion etc), measure word to show the frequency of an action","下午","xiàwǔ","ㄒㄧㄚˋ　ㄨˇ"
"下午","xiàwǔ","","1","afternoon","p.m., CL:個|个[ge4]","","","ㄒㄧㄚˋ　ㄨˇ"
"晚","wǎn","","1","evening","night, late","晚上","wǎnshang","ㄨㄢˇ　˙ㄕㄤ"
"晚上","wǎnshang","","1","evening","night, in the evening, CL:個|个[ge4]","","","ㄨㄢˇ　˙ㄕㄤ"
"一","yī","","1","one","1, single, a (article), as soon as, entire, whole, all, throughout, ""one"" radical in Chinese characters (Kangxi radical 1), also pr. [yao1] for greater clarity when spelling out numbers digit by digit","","","ㄧ"
"二","èr","","1","two","2, (Beijing dialect) stupid","","","ㄦˋ"
"三","sān","","1","three","3, surname San","","","ㄙㄢ"
"四","sì","","1","four","4","","","ㄙˋ"
"五","wǔ","","1","five","5","","","ㄨˇ"
"六","liù","","1","six","6","","","ㄌㄧㄡˋ"
"七","qī","","1","seven","7","","","ㄑㄧ"
"八","bā","","1","eight","8","","","ㄅㄚ"
"九","jiǔ","","1","nine","9","","","ㄐㄧㄡˇ"
"十","shí","","1","ten","10","","","ㄕˊ"
"零","líng","","1","zero","nought, zero sign, fractional, fragmentary, odd (of numbers), (placed between two numbers to indicate a smaller quantity followed by a larger one), fraction, (in mathematics) remainder (after division), extra, to wither and fall, to wither","","","ㄌㄧㄥˊ"
"兩","liǎng","","1","two","both, some, a few, tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)","","","ㄌㄧㄤˇ"
"時","shí","","1","o'clock","time, when, hour, season, period, surname Shi","時候","shíhòu","ㄕˊ　ㄏㄡˋ"
"候","hòu","","1","to wait","to inquire after, to watch, season, climate, (old) period of five days","時候","shíhòu","ㄕˊ　ㄏㄡˋ"
"時候","shíhòu","","1","time","length of time, moment, period","","","ㄕˊ　ㄏㄡˋ"
"百","bǎi","","1","hundred","numerous, all kinds of, surname Bai","","","ㄅㄞˇ"
"半","bàn","","1","half","semi-, incomplete, (after a number) and a half","","","ㄅㄢˋ"
"爸","bà","","1","father","dad, pa, papa","爸爸","bàba","ㄅㄚˋ　˙ㄅㄚ"
"爸爸","bàba","","1","(informal) father","CL:個|个[ge4],位[wei4]","","","ㄅㄚˋ　˙ㄅㄚ"
"媽","mā","","1","ma","mom, mother","媽媽","māma","ㄇㄚ　˙ㄇㄚ"
"媽媽","māma","","1","mama","mommy, mother, CL:個|个[ge4],位[wei4]","","","ㄇㄚ　˙ㄇㄚ"
"哥","gē","","1","elder brother","","哥哥","gēge","ㄍㄜ　˙ㄍㄜ"
"哥哥","gēge","","1","older brother","CL:個|个[ge4],位[wei4]","","","ㄍㄜ　˙ㄍㄜ"
"弟","dì","tì","1","younger brother","junior male, I (modest word in letter), variant of 悌[ti4]","弟弟","dìdi","ㄉㄧˋ　˙ㄉㄧ"
"弟弟","dìdi","","1","younger brother","CL:個|个[ge4],位[wei4]","","","ㄉㄧˋ　˙ㄉㄧ"
"姊","zǐ","","1","older sister","Taiwan pr. [jie3], old variant of 姊[zi3]","姊姊","jiějie","ㄐㄧㄝˇ　˙ㄐㄧㄝ"
"姊姊","jiějie","","1","older sister","Taiwan pr. [jie3 jie5]","","","ㄐㄧㄝˇ　˙ㄐㄧㄝ"
"妹","mèi","","1","younger sister","","妹妹","mèimei","ㄇㄟˋ　˙ㄇㄟ"
"妹妹","mèimei","","1","younger sister","young woman, CL:個|个[ge4]","","","ㄇㄟˋ　˙ㄇㄟ"
"的","de","","1","of","~'s (possessive particle), (used after an attribute), (used to form a nominal expression), (used at the end of a declarative sentence for emphasis), really and truly, aim, clear, see 的士[di1 shi4]","","","˙ㄉㄜ"
"第","dì","","1","(prefix indicating ordinal number, e.g. first, number two etc)","order, (old) rank in the imperial examinations, mansion, (literary) but, just","","","ㄉㄧˋ"
"分","fēn","","1","to divide","to separate, to distribute, to allocate, to distinguish (good and bad), part or subdivision, fraction, one tenth (of certain units), unit of length equivalent to 0.33 cm, minute (unit of time), minute (angular measurement unit), a point (in sports or games), 0.01 yuan (unit of money), part, share, ingredient, component","","","ㄈㄣ"
"點","diǎn","","1","point","dot, drop, speck, o'clock, point (in space or time), to draw a dot, to check on a list, to choose, to order (food in a restaurant), to touch briefly, to hint, to light, to ignite, to pour a liquid drop by drop, (old) one fifth of a two-hour watch 更[geng1], dot stroke in Chinese characters, classifier for items","","","ㄉㄧㄢˇ"
"個","ge","","1","individual","this, that, size, classifier for people or objects in general","","","˙ㄍㄜ"
"歲","suì","","1","classifier for years (of age)","year, year (of crop harvests)","","","ㄙㄨㄟˋ"
"住","zhù","","1","to live","to dwell, to stay, to reside, to stop, (suffix indicating firmness, steadiness, or coming to a halt)","","","ㄓㄨˋ"
"來","lái","","1","to come","to arrive, to come round, ever since, next","","","ㄌㄞˊ"
"是","shì","","1","(used in given names)","variant of 是[shi4]","","","ㄕˋ"
"姓","xìng","","1","family name","surname, to be surnamed, CL:個|个[ge4]","","","ㄒㄧㄥˋ"
"覺","jiào","jué","1","a nap","a sleep, to feel, to find that, thinking, awake, aware, CL:場|场[chang2]","覺得","juéde","ㄐㄩㄝˊ　˙ㄉㄜ"
"得","děi","","1","to obtain","to get, to gain, to catch (a disease), proper, suitable, proud, contented, to allow, to permit, ready, finished, structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc, to have to, must, ought to, to need to","覺得","juéde","ㄐㄩㄝˊ　˙ㄉㄜ"
"覺得","juéde","","1","to think","to feel","","","ㄐㄩㄝˊ　˙ㄉㄜ"
"喜","xǐ","","1","to be fond of","to like, to enjoy, to be happy, to feel pleased, happiness, delight, glad","喜歡","xǐhuān","ㄒㄧˇ　ㄏㄨㄢ"
"歡","huān","","1","joyous","happy, pleased","喜歡","xǐhuān","ㄒㄧˇ　ㄏㄨㄢ"
"喜歡","xǐhuān","","1","to like","to be fond of","","","ㄒㄧˇ　ㄏㄨㄢ"
"打","dǎ","","1","dozen (loanword)","to beat, to strike, to hit, to break, to type, to mix up, to build, to fight, to fetch, to make, to tie up, to issue, to shoot, to calculate, to play (a game), since, from","打電話","dǎdiànhuà","ㄉㄚˇ　ㄉㄧㄢˋ　ㄏㄨㄚˋ"
"打電話","dǎdiànhuà","","1","to make a telephone call","","","","ㄉㄚˇ　ㄉㄧㄢˋ　ㄏㄨㄚˋ"
"高","gāo","","1","high","tall, above average, loud, your (honorific), surname Gao","高興","gāoxìng","ㄍㄠ　ㄒㄧㄥˋ"
"興","xīng","xìng","1","to rise","to flourish, to become popular, to start, to encourage, to get up, (often used in the negative) to permit or allow (dialect), maybe (dialect), feeling or desire to do sth, interest in sth, excitement, surname Xing","高興","gāoxìng","ㄍㄠ　ㄒㄧㄥˋ"
"高興","gāoxìng","","1","happy","glad, willing (to do sth), in a cheerful mood","","","ㄍㄠ　ㄒㄧㄥˋ"
"漂","piāo","piǎo piào","1","to float","to drift, to bleach, elegant, polished","漂亮","piàoliàng","ㄆㄧㄠˋ　˙ㄌㄧㄤ"
"亮","liàng","","1","bright","clear, resonant, to shine, to show, to reveal","漂亮","piàoliàng","ㄆㄧㄠˋ　˙ㄌㄧㄤ"
"漂亮","piàoliàng","","1","pretty","beautiful","","","ㄆㄧㄠˋ　˙ㄌㄧㄤ"
"好","hǎo","","1","good","well, proper, good to, easy to, very, so, (suffix indicating completion or readiness), (of two people) close, on intimate terms, (after a personal pronoun) hello, to be fond of, to have a tendency to, to be prone to","","","ㄏㄠˇ"
"很","hěn","","1","(adverb of degree)","quite, very, awfully","","","ㄏㄣˇ"
"真","zhēn","","1","really","truly, indeed, real, true, genuine","","","ㄓㄣ"
"腦","nǎo","","1","brain","mind, head, essence","電腦","diànnǎo","ㄉㄧㄢˋ　ㄋㄠˇ"
"電腦","diànnǎo","","1","computer","CL:臺|台[tai2]","","","ㄉㄧㄢˋ　ㄋㄠˇ"
"老","lǎo","","1","prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity","old (of people), venerable (person), experienced, of long standing, always, all the time, of the past, very, outdated, (of meat etc) tough","老師","lǎoshī","ㄌㄠˇ　ㄕ"
"師","shī","","1","teacher","master, expert, model, army division, (old) troops, to dispatch troops, surname Shi","老師","lǎoshī","ㄌㄠˇ　ㄕ"
"老師","lǎoshī","","1","teacher","CL:個|个[ge4],位[wei4]","","","ㄌㄠˇ　ㄕ"
"買","mǎi","","1","to buy","to purchase","","","ㄇㄞˇ"
"忙","máng","","1","busy","hurriedly, to hurry, to rush","","","ㄇㄤˊ"
"學","xué","","1","to learn","to study, to imitate, science, -ology","學生","xuéshēng","ㄒㄩㄝˊ　ㄕㄥ"
"生","shēng","","1","to be born","to give birth, life, to grow, raw, uncooked, student","學生","xuéshēng","ㄒㄩㄝˊ　ㄕㄥ"
"學生","xuéshēng","","1","student","schoolchild","","","ㄒㄩㄝˊ　ㄕㄥ"
"大","dà","","1","big","huge, large, major, great, wide, deep, older (than), oldest, eldest, greatly, very much, (dialect) father, father's elder or younger brother, see 大夫[dai4 fu5]","大學","dàxué","ㄉㄚˋㄒㄩㄝˊ"
"大學","dàxué","","1","the Great Learning, one of the Four Books 四書|四书[Si4 shu1] in Confucianism","university, college, CL:所[suo3]","","","ㄉㄚˋㄒㄩㄝˊ"
"校","jiào","xiào","1","to proofread","to check, to compare, school, military officer, CL:所[suo3]","學校","xuéxiào","ㄒㄩㄝˊ　ㄒㄧㄠˋ"
"學校","xuéxiào","","1","school","CL:所[suo3]","","","ㄒㄩㄝˊ　ㄒㄧㄠˋ"
"筆","bǐ","","1","pen","pencil, writing brush, to write or compose, the strokes of Chinese characters, classifier for sums of money, deals, CL:支[zhi1],枝[zhi1]","","","ㄅㄧˇ"
"問","wèn","","1","to ask","","","","ㄨㄣˋ"
"說","shuō","","1","to persuade","to speak, to say, to explain, to scold, to tell off, a theory (typically the last character in a compound, as in 日心說|日心说 heliocentric theory)","","","ㄕㄨㄛ"
"寫","xiě","","1","to write","","","","ㄒㄧㄝˇ"
"聽","tīng","","1","to listen","to hear, to obey, a can (loanword from English ""tin""), classifier for canned beverages, (literary pronunciation, still advocated in Taiwan) to rule, to sentence, to allow","","","ㄊㄧㄥ"
"練","liàn","","1","to practice","to train, to drill, to perfect (one's skill), exercise","練習","liànxí","ㄌㄧㄢˋ　ㄒㄧˊ"
"習","xí","","1","to practice","to study, habit, surname Xi","練習","liànxí","ㄌㄧㄢˋ　ㄒㄧˊ"
"練習","liànxí","","1","to practice","exercise, drill, practice, CL:個|个[ge4]","","","ㄌㄧㄢˋ　ㄒㄧˊ"
"能","néng","","1","can","to be able to, might possibly, ability, (physics) energy, surname Neng","","","ㄋㄥˊ"
"可","kě","","1","can","may, able to, to approve, to permit, to suit, (particle used for emphasis) certainly, very, see 可汗[ke4 han2]","可以","kěyǐ","ㄎㄜˇ　ㄧˇ"
"以","yǐ","","1","to use","by means of, according to, in order to, because of, at (a certain date or place), old variant of 以[yi3], abbr. for Israel 以色列[Yi3 se4 lie4]","可以","kěyǐ","ㄎㄜˇ　ㄧˇ"
"可以","kěyǐ","","1","can","may, possible, able to, not bad, pretty good","","","ㄎㄜˇ　ㄧˇ"
"課","kè","","1","subject","course, class, lesson, to levy, tax, form of divination, CL:門|门[men2], CL:堂[tang2],節|节[jie2]","上課","shàngkè","ㄕㄤˋ　ㄎㄜˋ"
"上課","shàngkè","","1","to go to class","to attend class, to go to teach a class","","","ㄕㄤˋ　ㄎㄜˋ"
"知","zhī","","1","to know","to be aware","知道","zhīdào","ㄓ　ㄉㄠˋ"
"道","dào","","1","road","path, principle, truth, morality, reason, skill, method, Dao (of Daoism), to say, to speak, to talk, classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process, (old) administrative division (similar to province in Tang times), CL:條|条[tiao2],股[gu3]","知道","zhīdào","ㄓ　ㄉㄠˋ"
"知道","zhīdào","","1","to know","to become aware of, also pr. [zhi1 dao5]","","","ㄓ　ㄉㄠˋ"
"視","shì","","1","to look at","to regard, to inspect","電視","diànshì","""ㄉㄧㄢˋ　ㄕˋ （ㄐㄧ）"""
"電視","diànshì","","1","television","TV, CL:臺|台[tai2],個|个[ge4]","","","""ㄉㄧㄢˋ　ㄕˋ （ㄐㄧ）"""
"水","shuǐ","","1","water","river, liquid, beverage, additional charges or income, (of clothes) classifier for number of washes, surname Shui","","","ㄕㄨㄟˇ"
"再","zài","","1","again","once more, re-, second, another, then (after sth, and not until then), no matter how ... (followed by an adjective or verb, and then (usually) 也[ye3] or 都[dou1] for emphasis)","","","ㄗㄞˋ"
"書","shū","","1","book","letter, document, to write, abbr. for 書經|书经[Shu1 jing1], CL:本[ben3],冊|册[ce4],部[bu4]","","","ㄕㄨ"
"影","yǐng","","1","picture","image, film, movie, photograph, reflection, shadow, trace","電影","diànyǐng","ㄉㄧㄢˋ　ㄧㄥˇ"
"電影","diànyǐng","","1","movie","film, CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]","","","ㄉㄧㄢˋ　ㄧㄥˇ"
"前","qián","","1","front","forward, ahead, first, top (followed by a number), future, ago, before, BC (e.g. 前293年), former, formerly","以前","yǐqián","ㄧˇ　ㄑㄧㄢˊ"
"以前","yǐqián","","1","before","formerly, previous, ago","","","ㄧˇ　ㄑㄧㄢˊ"
"後","hòu","","1","back","behind, rear, afterwards, after, later","以後","yǐhòu","ㄧˇ　ㄏㄡˋ"
"以後","yǐhòu","","1","after","later, afterwards, following, later on, in the future","","","ㄧˇ　ㄏㄡˋ"
"走","zǒu","","1","to walk","to go, to run, to move (of vehicle), to visit, to leave, to go away, to die (euph.), from, through, away (in compound verbs, such as 撤走[che4 zou3]), to change (shape, form, meaning)","","","ㄗㄡˇ"
"等","děng","","1","class","rank, grade, equal to, same as, to wait for, to await, et cetera, and so on, et al. (and other authors), after, as soon as, once","","","ㄉㄥˇ"
"看","kàn","","1","to look after","to take care of, to watch, to guard, to see, to look at, to read, to watch, to visit, to call on, to consider, to regard as, to look after, to treat (an illness), to depend on, to feel (that), (after verb) to give it a try, Watch out! (for a danger)","","","ㄎㄢˋ"
"什","shén","shí","1","what","ten (used in fractions, writing checks etc), assorted, miscellaneous","什麼","shénme","ㄕㄣˊ　˙ㄇㄜ"
"麼","má","ma me mó","1","exclamatory final particle","interrogative final particle, suffix, used to form interrogative 什麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc, tiny, insignificant, variant of 麼|么[me5]","什麼","shénme","ㄕㄣˊ　˙ㄇㄜ"
"什麼","shénme","","1","what?","something, anything","","","ㄕㄣˊ　˙ㄇㄜ"
"朋","péng","","1","friend","","朋友","péngyǒu","ㄆㄥˊ　ㄧㄡˇ"
"友","yǒu","","1","friend","","朋友","péngyǒu","ㄆㄥˊ　ㄧㄡˇ"
"朋友","péngyǒu","","1","friend","CL:個|个[ge4],位[wei4]","","","ㄆㄥˊ　ㄧㄡˇ"
"東","dōng","","1","east","host (i.e. sitting on east side of guest), landlord, surname Dong","東西","dōngxi","ㄉㄨㄥ　˙ㄒㄧ"
"西","xī","","1","the West","Spanish, west, abbr. for Spain 西班牙[Xi1 ban1 ya2]","東西","dōngxi","ㄉㄨㄥ　˙ㄒㄧ"
"東西","dōngxi","","1","east and west","thing, stuff, person, CL:個|个[ge4],件[jian4]","","","ㄉㄨㄥ　˙ㄒㄧ"
"吧","ba","","1","bar (loanword) (serving drinks, or providing Internet access etc)","to puff (on a pipe etc), (onom.) bang, (modal particle indicating suggestion or surmise), ...right?, ...OK?, ...I presume., (onom.) smack!, abbr. for 貼吧|贴吧[tie1 ba1]","","","˙ㄅㄚ"
"呢","ne","","1","particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?"")","particle for inquiring about location (""Where is ...?""), particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (""ok?"", ""are you with me?""), (at the end of a declarative sentence) particle indicating continuation of a state or action, particle indicating strong affirmation, woolen material","","","˙ㄋㄜ"
"嗎","ma","","1","(question particle for ""yes-no"" questions)","see 嗎啡|吗啡, morphine","","","˙ㄇㄚ"
"找","zhǎo","","1","to try to find","to look for, to call on sb, to find, to seek, to return, to give change","","","ㄓㄠˇ"
"做","zuò","","1","to do","to make, to produce, to write, to compose, to act as, to engage in, to hold (a party), to be, to become, to function (in some capacity), to serve as, to be used for, to form (a bond or relationship), to pretend, to feign, to act a part, to put on appearance","","","ㄗㄨㄛˋ"
"見","jiàn","","1","to see","to meet, to appear (to be sth), to interview, to appear, also written 現|现[xian4]","再見","zàijiàn","ㄗㄞˋ　ㄐㄧㄢˋ"
"再見","zàijiàn","","1","goodbye","see you again later","","","ㄗㄞˋ　ㄐㄧㄢˋ"
"怎","zěn","","1","how","","怎麼樣","zěnmeyàng","ㄗㄣˇ　˙ㄇㄜ　ㄧㄤˋ"
"樣","yàng","","1","manner","pattern, way, appearance, shape, classifier: kind, type","怎麼樣","zěnmeyàng","ㄗㄣˇ　˙ㄇㄜ　ㄧㄤˋ"
"怎麼樣","zěnmeyàng","","1","how?","how about?, how was it?, how are things?","","","ㄗㄣˇ　˙ㄇㄜ　ㄧㄤˋ"
"叫","jiào","","1","variant of 叫[jiao4]","","","","ㄐㄧㄠˋ"
"謝","xiè","","1","to thank","to apologize, to wither (of flowers, leaves etc), to decline, surname Xie","謝謝","xièxie","ㄒㄧㄝˋ　˙ㄒㄧㄝ"
"謝謝","xièxie","","1","to thank","thanks, thank you","","","ㄒㄧㄝˋ　˙ㄒㄧㄝ"
"對","duì","","1","right","correct, couple, pair, towards, at, for, to face, opposite, to treat (sb a certain way), to match together, to adjust, to fit, to suit, to answer, to reply, classifier: couple","對不起","duìbuqǐ","ㄉㄨㄟˋ　˙ㄅㄨ　ㄑㄧˇ"
"不","bù","","1","(negative prefix)","not, no","對不起","duìbuqǐ","ㄉㄨㄟˋ　˙ㄅㄨ　ㄑㄧˇ"
"起","qǐ","","1","to rise","to raise, to get up, to set out, to start, to appear, to launch, to initiate (action), to draft, to establish, to get (from a depot or counter), verb suffix, to start, starting from (a time, place, price etc), classifier for occurrences or unpredictable events: case, instance, classifier for groups: batch, group","對不起","duìbuqǐ","ㄉㄨㄟˋ　˙ㄅㄨ　ㄑㄧˇ"
"對不起","duìbuqǐ","","1","unworthy","to let down, I'm sorry, excuse me, pardon me, if you please, sorry? (please repeat)","","","ㄉㄨㄟˋ　˙ㄅㄨ　ㄑㄧˇ"
"請","qǐng","","1","to ask","to invite, please (do sth), to treat (to a meal etc), to request","請問","qǐngwèn","ㄑㄧㄥˇ　ㄨㄣˋ"
"請問","qǐngwèn","","1","Excuse me, may I ask...?","","","","ㄑㄧㄥˇ　ㄨㄣˋ"
"這","zhè","","1","this","these, (commonly pr. [zhei4] before a classifier, esp. in Beijing)","","","ㄓㄜˋ"
"那","nà","","1","that","those, then (in that case), commonly pr. [nei4] before a classifier, esp. in Beijing, beautiful, how, surname Na, surname Nuo, variant of 哪[na3], (archaic) many, old variant of 挪[nuo2]","","","ㄋㄚˋ"
"公","gōng","","1","public","collectively owned, common, international (e.g. high seas, metric system, calendar), make public, fair, just, Duke, highest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4], honorable (gentlemen), father-in-law, male (animal)","公共汽車","gōnggòngqìchē","ㄍㄨㄥ　ㄍㄨㄥˋ　ㄑㄧˋ　ㄔㄜ/ㄍㄨㄥ　ㄔㄜ"
"共","gòng","","1","common","general, to share, together, total, altogether, abbr. for 共產黨|共产党[Gong4 chan3 dang3], Communist party","公共汽車","gōnggòngqìchē","ㄍㄨㄥ　ㄍㄨㄥˋ　ㄑㄧˋ　ㄔㄜ/ㄍㄨㄥ　ㄔㄜ"
"汽","qì","","1","steam","vapor","公共汽車","gōnggòngqìchē","ㄍㄨㄥ　ㄍㄨㄥˋ　ㄑㄧˋ　ㄔㄜ/ㄍㄨㄥ　ㄔㄜ"
"車","chē","","1","car","vehicle, machine, to shape with a lathe, rook (in Chinese chess), rook (in chess), surname Che, CL:輛|辆[liang4], war chariot (archaic)","公共汽車","gōnggòngqìchē","ㄍㄨㄥ　ㄍㄨㄥˋ　ㄑㄧˋ　ㄔㄜ/ㄍㄨㄥ　ㄔㄜ"
"公共汽車","gōnggòngqìchē","","1","bus","CL:輛|辆[liang4],班[ban1]","","","ㄍㄨㄥ　ㄍㄨㄥˋ　ㄑㄧˋ　ㄔㄜ/ㄍㄨㄥ　ㄔㄜ"
"到","dào","","1","to (a place)","until (a time), up to, to go, to arrive, (verb complement denoting completion or result of an action)","","","ㄉㄠˋ"
"去","qù","","1","to go","to go to (a place), (of a time etc) last, just passed, to send, to remove, to get rid of, to reduce, to be apart from in space or time, to die (euphemism), to play (a part), (when used either before or after a verb) to go in order to do sth, (after a verb of motion indicates movement away from the speaker), (used after certain verbs to indicate detachment or separation)","","","ㄑㄩˋ"
"回","huí","","1","variant of 迴|回[hui2]","","","","ㄏㄨㄟˊ"
"坐","zuò","","1","to sit","to take a seat, to take (a bus, airplane etc), to bear fruit, surname Zuo, variant of 座[zuo4]","","","ㄗㄨㄛˋ"
